Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS4A02G379700,12,12,0,0
TraesCS1A02G112600,1,3,-2,2
TraesCS1B02G425700,1,2,-1,1
TraesCS6A02G402500,0,1,-1,1
TraesCS3B02G382600,0,1,-1,1
TraesCS3D02G114600,1,1,0,0
TraesCS6A02G357500,1,1,0,0
TraesCS6B02G167000,1,1,0,0
TraesCS1D02G114200,1,1,0,0
TraesCS3B02G432000,0,1,-1,1
TraesCS4A02G179700,0,1,-1,1
TraesCS2D02G062600,1,1,0,0
TraesCS3B02G344300,1,1,0,0
TraesCS2B02G318000,0,1,-1,1
TraesCS5B02G431100,1,0,1,1
TraesCS7B02G413800,1,0,1,1
TraesCS7A02G258100,2,0,2,2
TraesCS6D02G127500,1,0,1,1
TraesCS2D02G580700,2,0,2,2
TraesCS6B02G174200,1,0,1,1
TraesCS3A02G421900,1,0,1,1
TraesCS7A02G506300,0,0,0,0
TraesCS7D02G494400,1,0,1,1
TraesCS7D02G272300,1,0,1,1
TraesCS2D02G539700,1,0,1,1
TraesCS7A02G498400,0,0,0,0
TraesCS3D02G015600,1,0,1,1
TraesCS5D02G292900,1,0,1,1
TraesCS6A02G138500,1,0,1,1
TraesCS5D02G437100,1,0,1,1
TraesCS3A02G025200,2,0,2,2
TraesCS4B02G306100,1,0,1,1
TraesCS7A02G020600,1,0,1,1
